date,demanda,es_fin_de_semana,is_feb_29,mes_sin,mes_cos,dia_sin,dia_cos,dia_de_semana_sin,dia_de_semana_cos,flg_despues_llegada_competencia,anio,mes,dia,q1,q3,iqr,lower_bound,upper_bound,is_outlier_low,is_outlier_high
2020-12-01,87.0,0,False,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336,0,2020,12,1,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-02,77.0,0,False,-2.4492935982947064e-16,1.0,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434,0,2020,12,2,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-03,84.0,0,False,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,0.43388373911755823,-0.900968867902419,0,2020,12,3,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-04,83.0,0,False,-2.4492935982947064e-16,1.0,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191,0,2020,12,4,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-05,101.0,1,False,-2.4492935982947064e-16,1.0,0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0,2020,12,5,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-06,107.0,1,False,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334,0,2020,12,6,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-07,80.0,0,False,-2.4492935982947064e-16,1.0,0.9884683243281114,0.1514277775045767,0.0,1.0,0,2020,12,7,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-08,138.0,0,False,-2.4492935982947064e-16,1.0,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336,0,2020,12,8,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-09,93.0,0,False,-2.4492935982947064e-16,1.0,0.9680771188662043,-0.2506525322587204,0.9749279121818236,-0.22252093395631434,0,2020,12,9,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-10,102.0,0,False,-2.4492935982947064e-16,1.0,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419,0,2020,12,10,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-11,115.0,0,False,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,-0.433883739117558,-0.9009688679024191,0,2020,12,11,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-12,114.0,1,False,-2.4492935982947064e-16,1.0,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146,0,2020,12,12,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-13,123.0,1,False,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821,-0.7818314824680299,0.6234898018587334,0,2020,12,13,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-14,88.0,0,False,-2.4492935982947064e-16,1.0,0.29936312297335804,-0.9541392564000488,0.0,1.0,0,2020,12,14,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-15,106.0,0,False,-2.4492935982947064e-16,1.0,0.10116832198743272,-0.994869323391895,0.7818314824680298,0.6234898018587336,0,2020,12,15,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-16,116.0,0,False,-2.4492935982947064e-16,1.0,-0.10116832198743204,-0.9948693233918952,0.9749279121818236,-0.22252093395631434,0,2020,12,16,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-17,100.0,0,False,-2.4492935982947064e-16,1.0,-0.2993631229733582,-0.9541392564000488,0.43388373911755823,-0.900968867902419,0,2020,12,17,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-18,130.0,0,False,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.433883739117558,-0.9009688679024191,0,2020,12,18,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-19,143.0,1,False,-2.4492935982947064e-16,1.0,-0.651372482722222,-0.7587581226927911,-0.9749279121818236,-0.2225209339563146,0,2020,12,19,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-20,111.0,1,False,-2.4492935982947064e-16,1.0,-0.7907757369376986,-0.6121059825476627,-0.7818314824680299,0.6234898018587334,0,2020,12,20,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-21,115.0,0,False,-2.4492935982947064e-16,1.0,-0.8978045395707417,-0.44039415155763423,0.0,1.0,0,2020,12,21,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-22,106.0,0,False,-2.4492935982947064e-16,1.0,-0.9680771188662041,-0.2506525322587213,0.7818314824680298,0.6234898018587336,0,2020,12,22,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-23,108.0,0,False,-2.4492935982947064e-16,1.0,-0.9987165071710528,-0.05064916883871355,0.9749279121818236,-0.22252093395631434,0,2020,12,23,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-24,108.0,0,False,-2.4492935982947064e-16,1.0,-0.9884683243281114,0.15142777750457667,0.43388373911755823,-0.900968867902419,0,2020,12,24,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-25,177.0,0,False,-2.4492935982947064e-16,1.0,-0.9377521321470804,0.3473052528448203,-0.433883739117558,-0.9009688679024191,0,2020,12,25,100.5,119.5,19.0,72.0,148.0,False,True
2020-12-26,120.0,1,False,-2.4492935982947064e-16,1.0,-0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0,2020,12,26,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-27,119.0,1,False,-2.4492935982947064e-16,1.0,-0.72479278722912,0.6889669190756865,-0.7818314824680299,0.6234898018587334,0,2020,12,27,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-28,106.0,0,False,-2.4492935982947064e-16,1.0,-0.5712682150947924,0.8207634412072763,0.0,1.0,0,2020,12,28,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-29,102.0,0,False,-2.4492935982947064e-16,1.0,-0.3943558551133187,0.9189578116202306,0.7818314824680298,0.6234898018587336,0,2020,12,29,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-30,144.0,0,False,-2.4492935982947064e-16,1.0,-0.20129852008866114,0.9795299412524943,0.9749279121818236,-0.22252093395631434,0,2020,12,30,100.5,119.5,19.0,72.0,148.0,False,False
2020-12-31,143.0,0,False,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0,2020,12,31,100.5,119.5,19.0,72.0,148.0,False,False
2021-01-01,183.0,0,False,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.433883739117558,-0.9009688679024191,0,2021,1,1,98.0,122.5,24.5,61.25,159.25,False,True
2021-01-02,133.0,1,False,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,-0.9749279121818236,-0.2225209339563146,0,2021,1,2,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-03,136.0,1,False,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,-0.7818314824680299,0.6234898018587334,0,2021,1,3,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-04,108.0,0,False,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866,0.0,1.0,0,2021,1,4,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-05,115.0,0,False,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624,0.7818314824680298,0.6234898018587336,0,2021,1,5,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-06,100.0,0,False,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434,0,2021,1,6,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-07,117.0,0,False,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,0.43388373911755823,-0.900968867902419,0,2021,1,7,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-08,118.0,0,False,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-0.433883739117558,-0.9009688679024191,0,2021,1,8,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-09,119.0,1,False,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,-0.9749279121818236,-0.2225209339563146,0,2021,1,9,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-10,120.0,1,False,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.7818314824680299,0.6234898018587334,0,2021,1,10,98.0,122.5,24.5,61.25,159.25,False,False
2021-01-11,139.0,0,False,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,0.0,1.0,0,2021,1,11,98.0,122.5,24.5,61.25,159.25,False,False
